model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gpt-4.1-mini,2,N2P0,literature review,30,SEED_23; N1P86; N1P115; N1P78; N1P38; N1P98; N0P54; N1P10; N1P42; N0P111; SEED_2; N1P53; N0P50; N1P62; N0P65; N0P4; SEED_13; SEED_86; N1P82; SEED_89; SEED_62; N0P66; SEED_117; N0P102; SEED_55; N1P43; N1P37; SEED_81; SEED_72; N0P34,N1P86; N1P115; N1P78; N1P53; SEED_23; N0P54; SEED_55; SEED_13; N0P34; SEED_86,10,,0,0,0.0
gpt-4.1-mini,2,N2P1,position paper,30,N0P33; SEED_13; N1P48; N1P83; N0P9; SEED_5; N1P102; N1P91; N0P91; N0P80; N0P75; N0P10; SEED_76; N1P98; N0P23; N1P68; N1P19; SEED_42; SEED_22; N0P19; N0P98; N1P35; N0P118; N0P2; N1P38; N0P104; N1P46; SEED_80; SEED_74; SEED_16,N0P33; N1P48; SEED_22; SEED_13; N1P83; N1P98; N0P23; N0P19; SEED_42; SEED_76,10,,0,0,0.0
gpt-4.1-mini,2,N2P10,position paper,30,N0P66; N1P68; N1P111; N0P92; N0P96; SEED_73; N1P43; N1P115; SEED_42; N0P10; SEED_119; N1P46; N1P15; N1P50; SEED_118; SEED_0; N1P10; N0P110; N0P37; N1P9; SEED_70; N0P82; SEED_61; N1P72; N0P99; SEED_62; SEED_5; N1P4; N0P61; N1P75,N0P66; N1P68; N1P111; N1P4; N1P43; SEED_0; SEED_61; N1P10; SEED_70; SEED_42,10,,0,0,0.0
gpt-4.1-mini,2,N2P100,position paper,30,N0P43; N1P34; N1P67; SEED_115; SEED_10; SEED_39; N1P107; N1P38; SEED_57; SEED_16; N0P70; N0P1; SEED_85; N0P24; N1P86; SEED_25; SEED_53; N1P97; N1P102; SEED_67; N1P105; N1P80; N0P107; N1P116; N1P77; N1P50; SEED_103; N1P53; N0P85; SEED_7,N0P43; N1P34; N1P107; N0P1; N1P53; N1P38; N1P97; N0P24; SEED_53; N1P86,10,,0,0,0.0
gpt-4.1-mini,2,N2P101,position paper,30,N1P70; N0P85; SEED_55; N0P4; N1P65; N1P78; N1P118; N1P3; SEED_20; SEED_93; SEED_6; SEED_96; SEED_81; SEED_37; SEED_106; N0P18; N0P92; N0P15; N1P87; SEED_22; N0P44; N0P62; N0P83; N0P108; SEED_70; N1P29; N0P54; N1P96; SEED_64; N0P69,N1P70; N0P85; N1P3; N1P78; SEED_6; N0P18; SEED_22; SEED_106; SEED_55; N1P87,10,,0,0,0.0
gpt-4.1-mini,2,N2P102,literature review,30,N1P81; SEED_79; SEED_88; N0P100; N0P77; N0P87; SEED_17; N0P7; SEED_4; SEED_81; N1P3; N1P74; N1P17; N1P61; N1P64; SEED_13; SEED_2; N1P101; SEED_46; N1P95; N1P79; SEED_80; SEED_105; N0P6; N0P11; SEED_64; SEED_33; N1P29; N0P47; SEED_96,N1P81; N0P100; N1P64; N1P74; N1P3; N1P61; SEED_17; N0P77; N0P6; N0P7,10,,0,0,0.0
gpt-4.1-mini,2,N2P103,literature review,30,N1P117; SEED_80; N0P1; SEED_44; SEED_114; N0P83; SEED_50; N1P110; SEED_86; N0P98; N0P76; N1P8; N0P108; N1P37; N0P24; SEED_54; SEED_115; N1P47; N1P62; SEED_53; N0P4; N0P116; N0P50; SEED_100; N0P54; N1P87; N0P51; SEED_119; SEED_85; N1P22,N1P117; N0P83; N0P1; N1P110; N0P98; N1P8; N0P50; SEED_115; SEED_44; N0P116,10,st. Ryan(2022),1,1,0.04
gpt-4.1-mini,2,N2P104,literature review,30,N0P32; N0P23; N1P49; SEED_39; N1P17; SEED_56; SEED_57; SEED_106; N0P43; SEED_9; N1P106; N1P19; SEED_27; N1P45; N0P117; N1P93; N1P46; SEED_13; SEED_3; SEED_54; N1P83; N0P82; N1P25; SEED_81; SEED_62; N1P116; N0P73; SEED_15; SEED_19; SEED_29,N0P32; N0P23; N1P46; N1P83; SEED_57; SEED_13; SEED_27; N1P25; SEED_9; SEED_3,10,,0,0,0.0
gpt-4.1-mini,2,N2P105,literature review,30,N1P1; N0P4; N1P76; N0P14; N1P64; N1P88; SEED_71; N1P111; N1P54; N1P26; N1P59; N0P93; N1P0; SEED_62; N1P107; N0P116; N0P118; SEED_58; SEED_96; N1P106; SEED_21; N0P40; N0P67; N0P55; N0P8; N1P46; SEED_79; SEED_11; SEED_94; SEED_60,N1P1; N0P4; N1P64; N1P76; SEED_58; SEED_94; N0P40; N1P88; N0P67; N0P55,10,,0,0,0.0
gpt-4.1-mini,2,N2P106,literature review,30,SEED_61; SEED_103; SEED_15; SEED_74; SEED_84; N1P29; SEED_114; N0P105; N0P23; N1P95; N1P5; N1P41; SEED_52; N0P17; N1P21; N0P32; N1P111; N1P11; SEED_59; N0P26; N0P72; N1P63; N0P47; SEED_42; N0P10; N0P36; N0P97; N1P64; N0P81; SEED_0,N1P29; N1P5; N0P23; N1P95; SEED_61; SEED_0; SEED_103; SEED_15; SEED_84; SEED_52,10,Harver(2024),1,1,0.0455
